"ID","Body_A","Body_L","Body_H","Eye_A","Gape_W","Head_W","InterEye_W","Leg1st_L","Leg3rd_L","InterLeg_W","Thorax_W","Mentum_L"
"G.7.8",34.4527444444444,11.6057037037037,2.87296666666667,0.545177777777778,2.84698518518519,4.06734814814815,2.5977,4.26187777777778,7.64368518518519,2.50952222222222,2.97692222222222,2.12764444444444
"G.7.9",48.3996,13.9749761904762,2.97277619047619,0.519371428571429,2.82962857142857,4.19088095238095,2.73705714285714,4.59752380952381,7.40806666666667,2.68882380952381,3.41878571428571,2.28544285714286
"G.7.18",38.8033787878788,13.8069393939394,2.88253383838384,0.449828282828283,2.54795,3.90038686868687,2.61915303030303,4.68180454545455,7.43845909090909,2.32601868686869,2.95532373737374,2.00698181818182
"G.7.19",33.6220875,12.840125,2.4691125,0.228825,2.1196,3.431425,2.5108875,4.2335875,6.3002375,1.898425,2.704425,1.704025
"G.7.23",35.9940076923077,12.4157692307692,2.88511538461538,0.3716,2.39567692307692,3.69877692307692,2.55530769230769,4.12852307692308,7.06640769230769,2.37511538461538,3.01004615384615,1.81524615384615
"G.7.30",34.422187254902,12.2379950980392,2.89637058823529,0.516047058823529,2.52373725490196,3.83526470588235,2.51209019607843,3.87152941176471,7.14805784313725,2.46098823529412,3.06503431372549,1.89370882352941
"G.7.32",31.1011912698413,12.2773531746032,2.42338571428571,0.3378,2.1649253968254,3.50728492063492,2.4680626984127,3.92754523809524,6.38217063492063,1.92030238095238,2.68775317460317,1.73279285714286
"G.7.33",32.3148260869565,12.1330144927536,2.66684347826087,0.546333333333333,2.57737101449275,3.98337101449275,2.64308405797101,4.20179420289855,7.51435362318841,2.23677101449275,2.76384927536232,2.03706376811594
"G.7.39",32.0532822222222,12.2801777777778,2.45881555555556,0.490702222222222,2.32969333333333,3.73369555555556,2.48008444444444,3.86303111111111,6.59276666666667,2.03597111111111,2.78792888888889,1.88455111111111
"G.7.44",32.7623555555556,12.185,2.35514444444444,0.404233333333333,2.27377777777778,3.62073333333333,2.48643888888889,3.76167222222222,6.45721666666667,1.99183888888889,2.76512222222222,1.85075
"G.8.6",53.553437037037,13.7032962962963,4.26765925925926,0.81532962962963,3.53727037037037,4.80597037037037,2.85947962962963,4.75658703703704,9.40280555555556,3.92703888888889,4.1773962962963,2.48036851851852
"G.8.7",39.7759083333333,12.5544166666667,3.33434583333333,0.462016666666667,2.84253333333333,3.97425833333333,2.53444583333333,4.4599,7.28995833333333,2.90234583333333,3.2784875,2.0121125
"G.8.8",57.9400666666667,14.6651111111111,3.40104814814815,0.4552,3.23527037037037,4.34185925925926,2.76943333333333,4.98642962962963,7.45933333333333,3.26808518518519,3.84054444444444,2.47571111111111
"G.8.18",36.6266142857143,13.3223095238095,2.36660238095238,0.49172380952381,2.42381666666667,3.86543333333333,2.57246904761905,4.30397857142857,6.81353571428571,1.9768880952381,2.76532619047619,2.06240952380952
"G.8.19",39.2796333333333,13.4044166666667,2.28505,0.6119,2.47513333333333,4.0982,2.61878333333333,4.45685,6.61783333333333,1.9323,2.84928333333333,2.22595
"G.8.23",45.6932571428571,14.1016547619048,2.72504285714286,0.572378571428571,2.78807857142857,4.1581119047619,2.74126666666667,4.64909761904762,7.37191666666667,2.41617380952381,3.19682619047619,2.26690952380952
"G.8.30",37.5769746031746,13.2147936507937,2.21929206349206,0.502130158730159,2.42206984126984,3.86667619047619,2.60919206349206,4.24689365079365,6.52269841269841,1.88634761904762,2.78260476190476,2.07553333333333
"G.8.32",49.1543333333333,13.8363333333333,3.854,0.785666666666667,3.57683333333333,4.98466666666667,3.12016666666667,5.58916666666667,10.0168333333333,3.43183333333333,3.53766666666667,2.68366666666667
"G.8.33",19.4093636363636,11.1910909090909,1.44033333333333,0.293090909090909,1.68524242424242,3.10328787878788,2.26945454545455,3.1870303030303,5.11177272727273,1.03321212121212,2.01409090909091,1.54168181818182
"G.8.34",17.1522,10.3424583333333,1.507825,0.272391666666667,1.56895,3.00271666666667,2.188925,3.218025,5.46183333333333,1.181325,2.02459166666667,1.32334166666667
"G.8.36",31.1498103448276,11.9666724137931,2.5302183908046,0.575603448275862,2.44539655172414,3.80557471264368,2.50503448275862,3.8788908045977,7.02324137931034,2.12142528735632,2.75176436781609,1.92059195402299
"G.8.39",36.3026296296296,13.0742592592593,2.15833333333333,0.573888888888889,2.36051851851852,3.96433333333333,2.56818518518519,4.27977777777778,6.4042962962963,1.795,2.72262962962963,2.13155555555556
"G.9.6",62.7958771929825,14.8712763157895,4.53178947368421,0.909206140350877,3.8502149122807,5.11913596491228,3.01065350877193,5.24991228070175,9.90662719298246,4.24028070175439,4.52335087719298,2.71829824561404
"G.9.7",57.3974094339623,14.5096949685535,3.94728301886792,0.809683018867924,3.79973081761006,4.86335031446541,3.06265220125786,5.59214779874214,9.44482641509434,3.63040566037736,3.94293962264151,2.59251320754717
"G.9.8",37.3491733333333,11.8267,3.224,0.431106666666667,2.99031333333333,4.01561333333333,2.58438,4.57893333333333,7.65819333333333,2.8141,3.13932666666667,2.09410666666667
"G.9.9",80.8017142857143,17.6518333333333,4.3522619047619,0.643571428571429,3.98285714285714,5.18695238095238,3.22585714285714,6.10566666666667,9.3147380952381,4.26630952380952,4.85578571428571,3.07414285714286
"G.9.18",62.181406162465,15.8908744164332,3.52706349206349,0.42622035480859,3.15589122315593,4.52273482726424,3.13049766573296,5.74617507002801,9.36730952380952,3.26037535014006,3.87801633986928,2.27493323996265
"G.9.19",75.2665701754386,16.6241359649123,3.7616201754386,0.586043859649123,3.62557543859649,5.13153157894737,3.42471315789474,6.20973070175439,10.1027929824561,3.74015087719298,4.40786929824561,2.69961315789474
"G.9.23",69.0109738863287,16.4234531490015,3.88615975422427,0.406595238095238,3.36786482334869,4.69034639016897,3.24560829493088,6.09317357910906,9.67692396313364,3.64665821812596,4.23486021505376,2.37392089093702
"G.9.30",69.2235185185185,16.8581049382716,4.12405555555556,0.656432098765432,3.72770987654321,4.96637654320988,3.24417283950617,6.37546296296296,9.53085185185185,3.73117283950617,4.271,2.68382716049383
"G.9.31",70.7015793650794,16.051880952381,3.6392380952381,0.619253968253968,3.48407936507937,5.03103968253968,3.29312698412698,6.06659523809524,9.79168253968254,3.59954761904762,4.25138095238095,2.6218253968254
"G.9.32",67.1907808641975,15.8994567901235,4.14747839506173,0.657780864197531,3.73592283950617,5.05351234567901,3.36033333333333,6.16496913580247,10.5101512345679,3.87843827160494,4.26471913580247,2.57850308641975
"G.9.33",63.5387837837838,16.1359054054054,3.53169009009009,0.535932432432432,3.23651171171171,4.54906126126126,2.95796306306306,5.59217027027027,8.39197477477478,3.23661351351351,3.94572342342342,2.51557837837838
"G.9.34",69.8113717948718,15.9975641025641,3.71014743589744,0.516384615384615,3.50992948717949,4.95264102564103,3.40992948717949,6.02694230769231,10.42175,3.65186538461538,4.19999358974359,2.48664102564103
"G.9.36",82.288462962963,17.6558703703704,4.08514814814815,0.553333333333333,3.86922222222222,5.19275925925926,3.41807407407407,6.36057407407407,9.89562962962963,4.09035185185185,4.74496296296296,2.91711111111111
"G.9.39",68.814693452381,15.6258482142857,4.32494642857143,0.812303571428571,3.85415476190476,5.20990476190476,3.25971726190476,5.780375,10.398119047619,4.13213095238095,4.5315119047619,2.69997023809524
"G.9.44",73.0338333333333,16.9450238095238,4.31495238095238,0.559285714285714,3.69528571428571,4.94159523809524,3.18488095238095,6.08514285714286,9.42659523809524,4.03147619047619,4.57309523809524,2.71011904761905
"G.10.6",60.0824215686274,14.129387254902,4.82824019607843,0.917941176470588,3.89471078431373,5.08605882352941,2.95645098039216,4.94894117647059,10.1961274509804,4.50907352941176,4.63238235294118,2.61246078431373
"G.10.7",66.5633561403509,15.6608666666667,4.40280350877193,0.754080701754386,3.90243859649123,4.98506140350877,3.10246140350877,5.6788350877193,9.62852280701754,4.1272,4.46007719298246,2.70911929824561
"G.10.8",56.531296969697,14.3306515151515,3.58493939393939,0.566933333333333,3.46998787878788,4.6276696969697,2.91351818181818,5.29554545454545,8.49403636363636,3.37245454545455,3.82164242424242,2.62372121212121
"G.10.9",72.7314358974359,16.6844230769231,4.03165897435897,0.658076923076923,3.71591282051282,5.01238717948718,3.11444358974359,5.78818717948718,8.93902307692308,3.88159487179487,4.49941282051282,2.91075384615385
"G.10.18",63.2579137254902,15.6690588235294,3.50407810457516,0.420159477124183,3.20438071895425,4.54929673202614,3.14641535947712,5.63191797385621,9.0990885620915,3.29626111111111,3.94012843137255,2.36166013071895
"G.10.19",57.0517182539683,14.7103055555556,3.25017380952381,0.527468253968254,3.07472182539683,4.50409087301587,3.01002261904762,5.21669920634921,8.53365515873016,3.03103888888889,3.71700158730159,2.3704626984127
"G.10.23",59.6892031746032,14.8457380952381,3.48804126984127,0.555133333333333,3.29395555555556,4.65497777777778,3.17858968253968,5.46705634920635,9.43310476190476,3.28828333333333,3.85324365079365,2.36919523809524
"G.10.30",64.4589243243243,15.2907364864865,4.20573918918919,0.953106306306306,3.64969099099099,5.01622747747748,2.99617522522523,5.29446396396396,9.63065,3.84100945945946,4.28801351351351,2.7281963963964
